seed,pair_id,modality,corruption_type,severity,ssim,psnr,damage_ssim,norm_edit_distance,bleu,damage_bleu
0,29,image,gaussian_noise,3,0.293780156700649,20.835988088857768,0.706219843299351,,,
0,29,image,gaussian_noise,4,0.19667380496942113,16.77330563599274,0.8033261950305789,,,
0,29,image,gaussian_noise,5,0.130563523999326,13.306957977767532,0.869436476000674,,,
0,30,image,gaussian_noise,1,0.6538167467730497,30.108795261802452,0.3461832532269503,,,
0,30,image,gaussian_noise,2,0.4104654664931902,24.134546296319854,0.5895345335068098,,,
0,30,image,gaussian_noise,3,0.3016620583915804,20.73636966963107,0.6983379416084197,,,
0,30,image,gaussian_noise,4,0.19878593945949066,16.62443486473767,0.8012140605405094,,,
0,30,image,gaussian_noise,5,0.12780565267062874,13.12465499908889,0.8721943473293713,,,
0,31,image,gaussian_noise,1,0.67867571746657,30.474985012539015,0.32132428253343004,,,
0,31,image,gaussian_noise,2,0.43147030950520504,24.733868908611743,0.568529690494795,,,
0,31,image,gaussian_noise,3,0.31077834019728395,21.488344668246313,0.6892216598027161,,,
0,31,image,gaussian_noise,4,0.19806944549472202,17.563649272200955,0.801930554505278,,,
0,31,image,gaussian_noise,5,0.1271842880883949,14.051470937354672,0.8728157119116051,,,
0,32,image,gaussian_noise,1,0.6958604961940487,30.04474114977009,0.30413950380595134,,,
0,32,image,gaussian_noise,2,0.427829543707613,24.11013278994974,0.572170456292387,,,
0,32,image,gaussian_noise,3,0.2894325431512541,20.69244380110463,0.7105674568487459,,,
0,32,image,gaussian_noise,4,0.15976814625476207,16.558568360262903,0.8402318537452379,,,
0,32,image,gaussian_noise,5,0.08510129430873194,13.076959131076777,0.9148987056912681,,,
0,33,image,gaussian_noise,1,0.8962816503002431,30.122099479867884,0.1037183496997569,,,
0,33,image,gaussian_noise,2,0.7440470811590739,24.235488521637368,0.2559529188409261,,,
0,33,image,gaussian_noise,3,0.6210232607817497,20.913340205280008,0.37897673921825026,,,
0,33,image,gaussian_noise,4,0.4450093621436528,16.873760876931065,0.5549906378563472,,,
0,33,image,gaussian_noise,5,0.2911219517603063,13.40124874748016,0.7088780482396937,,,
0,34,image,gaussian_noise,1,0.7912706386531871,30.133379657899482,0.20872936134681286,,,
0,34,image,gaussian_noise,2,0.5967971195735261,24.314371000853516,0.4032028804264739,,,
0,34,image,gaussian_noise,3,0.4783457980153125,20.988412745746672,0.5216542019846875,,,
0,34,image,gaussian_noise,4,0.33877120938351385,17.03123514426271,0.6612287906164862,,,
0,34,image,gaussian_noise,5,0.22265186706379703,13.56192663960799,0.777348132936203,,,
0,35,image,gaussian_noise,1,0.7638590909953079,30.333739210821005,0.2361409090046921,,,
0,35,image,gaussian_noise,2,0.5148640838473733,24.39632729337153,0.48513591615262674,,,
0,35,image,gaussian_noise,3,0.36853437704865316,21.011008021051822,0.6314656229513469,,,
0,35,image,gaussian_noise,4,0.21633100351362045,16.871971704768143,0.7836689964863796,,,
0,35,image,gaussian_noise,5,0.11893646415756694,13.322880566417332,0.881063535842433,,,
0,36,image,gaussian_noise,1,0.698455191007393,30.26761850116044,0.30154480899260705,,,
0,36,image,gaussian_noise,2,0.45405786732567655,24.5680385675049,0.5459421326743235,,,
0,36,image,gaussian_noise,3,0.3314602699644876,21.357332445712995,0.6685397300355125,,,
0,36,image,gaussian_noise,4,0.2100404579533293,17.38776602356434,0.7899595420466707,,,
0,36,image,gaussian_noise,5,0.12777655199216256,13.834340651324489,0.8722234480078375,,,
0,37,image,gaussian_noise,1,0.706993776824986,30.52210728058564,0.293006223175014,,,
0,37,image,gaussian_noise,2,0.45834792851256534,24.79125882371298,0.5416520714874347,,,
0,37,image,gaussian_noise,3,0.33390363188821315,21.556971172756455,0.6660963681117869,,,
0,37,image,gaussian_noise,4,0.21486801437094594,17.6068140733108,0.7851319856290541,,,
0,37,image,gaussian_noise,5,0.13507907096292096,14.039059237573433,0.8649209290370791,,,
0,38,image,gaussian_noise,1,0.6269261931846767,30.066084214768267,0.3730738068153233,,,
0,38,image,gaussian_noise,2,0.3378187948774083,24.07431332453631,0.6621812051225917,,,
