
==============================================================================
1. INPUT-SIDE DAMAGE TABLE (model-independent)
==============================================================================
Per (modality, corruption_type, severity): mean damage with bootstrap 95% CI, n pairs.

modality corruption_type  severity             metric    mean   ci_lo   ci_hi   n
openclip_l14_laion2b                Q4     2700      0.2352       0.2323       0.2382    2725     0.1712      0.1677      0.1748                 0.0640      0.0594      0.0686                 True              True
openclip_l14_laion2b Q5 (most damaged)     2700      0.2662       0.2640       0.2683    2663     0.0929      0.0897      0.0964                 0.1733      0.1694      0.1774                 True              True
      pecore_l14_336      Q1 (mildest)     2700      0.2199       0.2183       0.2215    2740     0.2142      0.2124      0.2160                 0.0058      0.0033      0.0082                 True              True
      pecore_l14_336                Q2     2700      0.2107       0.2091       0.2124    2663     0.1979      0.1960      0.2000                 0.0128      0.0103      0.0153                 True              True
      pecore_l14_336                Q3     2700      0.2031       0.2013       0.2049    2709     0.1668      0.1644      0.1690                 0.0363      0.0335      0.0391                 True              True
      pecore_l14_336                Q4     2700      0.1980       0.1961       0.1999    2725     0.1354      0.1326      0.1383                 0.0626      0.0592      0.0660                 True              True
      pecore_l14_336 Q5 (most damaged)     2700      0.2125       0.2108       0.2141    2663     0.0746      0.0720      0.0773                 0.1379      0.1350      0.1412                 True              True
  siglip2_so400m_384      Q1 (mildest)     2700      0.2001       0.1986       0.2016    2740     0.1952      0.1933      0.1971                 0.0049      0.0024      0.0075                 True              True
  siglip2_so400m_384                Q2     2700      0.1917       0.1901       0.1933    2663     0.1803      0.1783      0.1825                 0.0114      0.0090      0.0141                 True              True
  siglip2_so400m_384                Q3     2700      0.1829       0.1812       0.1847    2709     0.1500      0.1478      0.1523                 0.0329      0.0300      0.0357                 True              True
  siglip2_so400m_384                Q4     2700      0.1765       0.1746       0.1785    2725     0.1191      0.1168      0.1216                 0.0574      0.0542      0.0605                 True              True
  siglip2_so400m_384 Q5 (most damaged)     2700      0.1927       0.1911       0.1942    2663     0.0632      0.0610      0.0655                 0.1295      0.1269      0.1324                 True              True

→ Saved: results/calibration_quintile_test.csv

--- HEADLINE: how often does image_retention > text_retention within matched quintiles? ---
               model  n_quintiles  image_higher  sig_quintiles  all_quintiles_image_higher  all_quintiles_significant
     openai_clip_b32            5             5              5                        True                       True
     openai_clip_l14            5             5              5                        True                       True
openclip_l14_laion2b            5             5              5                        True                       True
      pecore_l14_336            5             5              5                        True                       True
  siglip2_so400m_384            5             5              5                        True                       True

==============================================================================
4. CROSSOVER CHECK — does mildest text condition still outperform most-severe image condition?
==============================================================================
               model  image_top_quintile_mean_retention  image_ci_lo  image_ci_hi  text_bottom_quintile_mean_retention  text_ci_lo  text_ci_hi  text_bottom > image_top?
     openai_clip_b32                             0.1422       0.1409       0.1436                               0.1440      0.1423      0.1455                      True
     openai_clip_l14                             0.1641       0.1627       0.1656                               0.1608      0.1589      0.1625                     False
openclip_l14_laion2b                             0.2662       0.2640       0.2683                               0.2644      0.2620      0.2666                     False
      pecore_l14_336                             0.2125       0.2108       0.2141                               0.2142      0.2124      0.2160                      True
  siglip2_so400m_384                             0.1927       0.1911       0.1942                               0.1952      0.1933      0.1971                      True

Report this in the paper only if 'text_bottom > image_top?' is False for every model
(i.e., the mildest text corruption leaves more retention than the most severe image corruption).

==============================================================================
5. EMBEDDING-FIDELITY CALIBRATION (model-internal diagnostic)
==============================================================================
Late-layer cosine fidelity per (model, severity), from existing image_fidelity / text_fidelity spokes.
This is NOT the primary calibration (uses CLIP's own representation), only a parallel diagnostic.

--- Image final-embedding fidelity (mean cosine over corruption types and pairs) ---
image_severity             1       2       3       4       5
model                                                       
openai_clip_b32       0.9744  0.9488  0.9020  0.8352  0.7770
openai_clip_l14       0.9164  0.8526  0.7606  0.6589  0.5829
openclip_l14_laion2b  0.9188  0.8546  0.7698  0.6764  0.6002
